"hour","year","month","day","time_h","device","time_proper","Meeps","temp_mean","rh_mean","dp_mean"
2,2025,8,5,2025-08-05 02:00:00,"PIKARU6",2025-08-05 02:00:00,0,7.44083333333333,79.1841666666667,4.07583333333333
3,2025,8,2,2025-08-02 03:00:00,"PIKARU20",2025-08-02 03:00:00,0,8.80333333333333,85.7583333333333,6.55916666666667
3,2025,8,2,2025-08-02 03:00:00,"PIKARU21",2025-08-02 03:00:00,0,8.80333333333333,85.7583333333333,6.55916666666667
3,2025,8,2,2025-08-02 03:00:00,"PIKARU25",2025-08-02 03:00:00,0,8.80333333333333,85.7583333333333,6.55916666666667
3,2025,8,2,2025-08-02 03:00:00,"PIKARU2",2025-08-02 03:00:00,1,8.80333333333333,85.7583333333333,6.55916666666667
3,2025,8,2,2025-08-02 03:00:00,"PIKARU6",2025-08-02 03:00:00,0,8.80333333333333,85.7583333333333,6.55916666666667
3,2025,8,4,2025-08-04 03:00:00,"PIKARU20",2025-08-04 03:00:00,2,8.33916666666667,65.1725,2.19083333333333
3,2025,8,4,2025-08-04 03:00:00,"PIKARU21",2025-08-04 03:00:00,2,8.33916666666667,65.1725,2.19083333333333
3,2025,8,4,2025-08-04 03:00:00,"PIKARU25",2025-08-04 03:00:00,1,8.33916666666667,65.1725,2.19083333333333
3,2025,8,4,2025-08-04 03:00:00,"PIKARU2",2025-08-04 03:00:00,2,8.33916666666667,65.1725,2.19083333333333
3,2025,8,4,2025-08-04 03:00:00,"PIKARU6",2025-08-04 03:00:00,0,8.33916666666667,65.1725,2.19083333333333
3,2025,8,5,2025-08-05 03:00:00,"PIKARU20",2025-08-05 03:00:00,0,7.21333333333333,79.6983333333333,3.9475
3,2025,8,5,2025-08-05 03:00:00,"PIKARU21",2025-08-05 03:00:00,0,7.21333333333333,79.6983333333333,3.9475
3,2025,8,5,2025-08-05 03:00:00,"PIKARU25",2025-08-05 03:00:00,0,7.21333333333333,79.6983333333333,3.9475
3,2025,8,5,2025-08-05 03:00:00,"PIKARU2",2025-08-05 03:00:00,0,7.21333333333333,79.6983333333333,3.9475
3,2025,8,5,2025-08-05 03:00:00,"PIKARU6",2025-08-05 03:00:00,0,7.21333333333333,79.6983333333333,3.9475
4,2025,8,2,2025-08-02 04:00:00,"PIKARU20",2025-08-02 04:00:00,0,8.40833333333333,85.2091666666667,6.07833333333333
4,2025,8,2,2025-08-02 04:00:00,"PIKARU21",2025-08-02 04:00:00,0,8.40833333333333,85.2091666666667,6.07833333333333
4,2025,8,2,2025-08-02 04:00:00,"PIKARU25",2025-08-02 04:00:00,1,8.40833333333333,85.2091666666667,6.07833333333333
4,2025,8,2,2025-08-02 04:00:00,"PIKARU2",2025-08-02 04:00:00,0,8.40833333333333,85.2091666666667,6.07833333333333
4,2025,8,2,2025-08-02 04:00:00,"PIKARU6",2025-08-02 04:00:00,0,8.40833333333333,85.2091666666667,6.07833333333333
4,2025,8,4,2025-08-04 04:00:00,"PIKARU20",2025-08-04 04:00:00,1,7.82583333333333,67.6,2.215
4,2025,8,4,2025-08-04 04:00:00,"PIKARU21",2025-08-04 04:00:00,2,7.82583333333333,67.6,2.215
4,2025,8,4,2025-08-04 04:00:00,"PIKARU25",2025-08-04 04:00:00,2,7.82583333333333,67.6,2.215
4,2025,8,4,2025-08-04 04:00:00,"PIKARU2",2025-08-04 04:00:00,0,7.82583333333333,67.6,2.215
4,2025,8,4,2025-08-04 04:00:00,"PIKARU6",2025-08-04 04:00:00,0,7.82583333333333,67.6,2.215
4,2025,8,5,2025-08-05 04:00:00,"PIKARU20",2025-08-05 04:00:00,4,6.92416666666667,80.3091666666667,3.775
4,2025,8,5,2025-08-05 04:00:00,"PIKARU21",2025-08-05 04:00:00,4,6.92416666666667,80.3091666666667,3.775
4,2025,8,5,2025-08-05 04:00:00,"PIKARU25",2025-08-05 04:00:00,3,6.92416666666667,80.3091666666667,3.775
4,2025,8,5,2025-08-05 04:00:00,"PIKARU2",2025-08-05 04:00:00,6,6.92416666666667,80.3091666666667,3.775
